sample,epsilon,verdict,tag,seconds
0,0.01,verified,safe-incomplete,0.2953
0,0.02,verified,safe-incomplete,0.1924
0,0.03,verified,safe-incomplete,0.195
0,0.04,verified,safe-incomplete,0.1941
0,0.05,verified,safe-incomplete,0.2052
0,0.06,verified,safe-incomplete,0.2021
0,0.07,verified,safe-incomplete,0.1967
0,0.08,verified,safe-incomplete,0.1901
0,0.09,verified,safe-incomplete,0.1985
0,0.1,verified,safe-incomplete,0.2003
0,0.11,verified,safe-incomplete,0.204
0,0.12,verified,safe-incomplete,0.1991
0,0.13,verified,safe-incomplete,0.2683
0,0.14,verified,safe-incomplete,0.1986
0,0.15,verified,safe-incomplete,0.2019
0,0.16,verified,safe,0.3671
0,0.17,verified,safe,0.4982
0,0.18,verified,safe,0.7216
0,0.19,verified,safe,1.095
0,0.2,verified,safe,1.4776
1,0.01,verified,safe-incomplete,0.2102
1,0.02,verified,safe-incomplete,0.2057
1,0.03,verified,safe-incomplete,0.2058
1,0.04,verified,safe-incomplete,0.2077
1,0.05,verified,safe-incomplete,0.197
1,0.06,verified,safe-incomplete,0.2111
1,0.07,verified,safe-incomplete,0.1958
1,0.08,verified,safe-incomplete,0.2
1,0.09,verified,safe-incomplete,0.204
1,0.1,verified,safe-incomplete,0.2043
1,0.11,verified,safe-incomplete,0.2076
1,0.12,verified,safe-incomplete,0.2071
1,0.13,verified,safe-incomplete,0.2177
1,0.14,verified,safe-incomplete,0.2079
1,0.15,verified,safe-incomplete,0.2082
1,0.16,verified,safe-incomplete,0.1979
1,0.17,verified,safe-incomplete,0.1995
1,0.18,verified,safe-incomplete,0.1971
1,0.19,verified,safe,0.4924
1,0.2,verified,safe,0.5349
2,0.01,verified,safe-incomplete,0.2086
2,0.02,verified,safe-incomplete,0.207
2,0.03,verified,safe-incomplete,0.2053
2,0.04,verified,safe-incomplete,0.2042
2,0.05,verified,safe-incomplete,0.199
2,0.06,verified,safe-incomplete,0.21
2,0.07,verified,safe-incomplete,0.2059
2,0.08,verified,safe-incomplete,0.2014
2,0.09,verified,safe-incomplete,0.2162
2,0.1,verified,safe-incomplete,0.1995
2,0.11,verified,safe-incomplete,0.2016
2,0.12,verified,safe-incomplete,0.2089
2,0.13,verified,safe,0.3374
2,0.14,verified,safe,0.7764
2,0.15,verified,safe,1.1744
2,0.16,verified,safe,1.7337
2,0.17,falsified,unsafe-pgd,0.0271
2,0.18,falsified,unsafe-pgd,0.021
2,0.19,falsified,unsafe-pgd,0.0208
2,0.2,falsified,unsafe-pgd,0.0207
3,0.01,verified,safe-incomplete,0.2031
3,0.02,verified,safe-incomplete,0.1998
3,0.03,verified,safe-incomplete,0.1992
3,0.04,verified,safe-incomplete,0.1992
3,0.05,verified,safe-incomplete,0.1949
3,0.06,verified,safe-incomplete,0.2005
3,0.07,verified,safe-incomplete,0.1974
3,0.08,verified,safe-incomplete,0.1936
3,0.09,verified,safe-incomplete,0.2023
3,0.1,verified,safe-incomplete,0.1906
3,0.11,verified,safe-incomplete,0.1982
3,0.12,verified,safe-incomplete,0.1995
3,0.13,verified,safe-incomplete,0.2014
3,0.14,verified,safe-incomplete,0.201
3,0.15,verified,safe-incomplete,0.1977
3,0.16,verified,safe-incomplete,0.2027
3,0.17,verified,safe-incomplete,0.2621
3,0.18,verified,safe-incomplete,0.2174
3,0.19,verified,safe,0.4639
3,0.2,verified,safe,0.5991
4,0.01,verified,safe-incomplete,0.2066
4,0.02,verified,safe-incomplete,0.2072
4,0.03,verified,safe-incomplete,0.2038
4,0.04,verified,safe-incomplete,0.2092
4,0.05,verified,safe-incomplete,0.1967
4,0.06,verified,safe-incomplete,0.201
4,0.07,verified,safe-incomplete,0.1998
4,0.08,verified,safe-incomplete,0.2007
4,0.09,verified,safe-incomplete,0.2067
4,0.1,verified,safe,0.3391
4,0.11,verified,safe,0.7002
4,0.12,verified,safe,1.1537
4,0.13,falsified,unsafe-pgd,0.0204
4,0.14,falsified,unsafe-pgd,0.0205
4,0.15,falsified,unsafe-pgd,0.0207
4,0.16,falsified,unsafe-pgd,0.02
4,0.17,falsified,unsafe-pgd,0.0202
4,0.18,falsified,unsafe-pgd,0.0193
4,0.19,falsified,unsafe-pgd,0.0194
4,0.2,falsified,unsafe-pgd,0.0195
5,0.01,verified,safe-incomplete,0.2095
5,0.02,verified,safe-incomplete,0.2122
5,0.03,verified,safe-incomplete,0.2011
5,0.04,verified,safe-incomplete,0.2039
5,0.05,verified,safe-incomplete,0.1947
5,0.06,verified,safe-incomplete,0.2066
5,0.07,verified,safe-incomplete,0.2131
5,0.08,verified,safe-incomplete,0.2054
5,0.09,verified,safe-incomplete,0.2064
5,0.1,verified,safe-incomplete,0.256
5,0.11,verified,safe-incomplete,0.2032
5,0.12,verified,safe,0.352
5,0.13,verified,safe,0.441
5,0.14,verified,safe,0.4801
5,0.15,verified,safe,0.807
5,0.16,verified,safe,1.2617
5,0.17,verified,safe,2.3033
5,0.18,falsified,unsafe-pgd,0.0206
5,0.19,falsified,unsafe-pgd,0.0204
5,0.2,falsified,unsafe-pgd,0.0197
6,0.01,verified,safe-incomplete,0.2086
6,0.02,verified,safe-incomplete,0.2084
6,0.03,verified,safe-incomplete,0.2055
6,0.04,verified,safe-incomplete,0.2044
6,0.05,verified,safe-incomplete,0.199
6,0.06,verified,safe-incomplete,0.2064
6,0.07,verified,safe-incomplete,0.2083
6,0.08,verified,safe-incomplete,0.2078
6,0.09,verified,safe-incomplete,0.209
6,0.1,verified,safe-incomplete,0.2053
6,0.11,verified,safe-incomplete,0.2063
6,0.12,verified,safe,0.4338
6,0.13,verified,safe,0.8293
6,0.14,verified,safe,1.8013
6,0.15,falsified,unsafe-pgd,0.0212
6,0.16,falsified,unsafe-pgd,0.0204
6,0.17,falsified,unsafe-pgd,0.0198
6,0.18,falsified,unsafe-pgd,0.0199
6,0.19,falsified,unsafe-pgd,0.0197
6,0.2,falsified,unsafe-pgd,0.0208
7,0.01,verified,safe-incomplete,0.2109
7,0.02,verified,safe-incomplete,0.2029
7,0.03,verified,safe-incomplete,0.2101
7,0.04,verified,safe-incomplete,0.2114
7,0.05,verified,safe-incomplete,0.1981
7,0.06,verified,safe-incomplete,0.2109
7,0.07,verified,safe-incomplete,0.1923
7,0.08,verified,safe-incomplete,0.2033
7,0.09,verified,safe-incomplete,0.2072
7,0.1,verified,safe-incomplete,0.2086
7,0.11,verified,safe,0.351
7,0.12,verified,safe,0.4984
7,0.13,verified,safe,0.8696
7,0.14,verified,safe,1.1434
7,0.15,verified,safe,1.535
7,0.16,verified,safe,2.7452
7,0.17,falsified,unsafe-pgd,0.0231
7,0.18,falsified,unsafe-pgd,0.0216
7,0.19,falsified,unsafe-pgd,0.0201
7,0.2,falsified,unsafe-pgd,0.0201
8,0.01,verified,safe-incomplete,0.1974
8,0.02,verified,safe-incomplete,0.1926
8,0.03,falsified,unsafe-pgd,0.0113
8,0.04,falsified,unsafe-pgd,0.0117
8,0.05,falsified,unsafe-pgd,0.0131
8,0.06,falsified,unsafe-pgd,0.0111
8,0.07,falsified,unsafe-pgd,0.0107
8,0.08,falsified,unsafe-pgd,0.0105
8,0.09,falsified,unsafe-pgd,0.0108
8,0.1,falsified,unsafe-pgd,0.0101
8,0.11,falsified,unsafe-pgd,0.011
8,0.12,falsified,unsafe-pgd,0.0111
8,0.13,falsified,unsafe-pgd,0.0112
8,0.14,falsified,unsafe-pgd,0.0114
8,0.15,falsified,unsafe-pgd,0.0108
8,0.16,falsified,unsafe-pgd,0.0106
8,0.17,falsified,unsafe-pgd,0.0105
8,0.18,falsified,unsafe-pgd,0.0109
8,0.19,falsified,unsafe-pgd,0.0106
8,0.2,falsified,unsafe-pgd,0.0108
9,0.01,verified,safe-incomplete,0.2033
9,0.02,verified,safe-incomplete,0.2039
9,0.03,verified,safe-incomplete,0.2069
9,0.04,verified,safe-incomplete,0.2073
9,0.05,verified,safe-incomplete,0.1987
9,0.06,verified,safe-incomplete,0.2042
9,0.07,verified,safe-incomplete,0.2068
9,0.08,verified,safe-incomplete,0.2038
9,0.09,verified,safe-incomplete,0.2575
9,0.1,verified,safe-incomplete,0.2009
9,0.11,verified,safe,0.3291
9,0.12,verified,safe,0.4232
9,0.13,verified,safe,0.3842
9,0.14,falsified,unsafe-pgd,0.0205
9,0.15,falsified,unsafe-pgd,0.0197
9,0.16,falsified,unsafe-pgd,0.0196
9,0.17,falsified,unsafe-pgd,0.0195
9,0.18,falsified,unsafe-pgd,0.0194
9,0.19,falsified,unsafe-pgd,0.0199
9,0.2,falsified,unsafe-pgd,0.0194
10,0.01,verified,safe-incomplete,0.2007
10,0.02,verified,safe-incomplete,0.2006
10,0.03,verified,safe-incomplete,0.2053
10,0.04,verified,safe-incomplete,0.2044
10,0.05,verified,safe-incomplete,0.204
10,0.06,verified,safe-incomplete,0.2132
10,0.07,verified,safe-incomplete,0.2091
10,0.08,verified,safe-incomplete,0.2098
10,0.09,verified,safe-incomplete,0.2107
10,0.1,verified,safe-incomplete,0.209
10,0.11,verified,safe-incomplete,0.2583
10,0.12,verified,safe-incomplete,0.2077
10,0.13,verified,safe-incomplete,0.2094
10,0.14,verified,safe-incomplete,0.2032
10,0.15,verified,safe-incomplete,0.205
10,0.16,verified,safe-incomplete,0.2094
10,0.17,verified,safe-incomplete,0.197
10,0.18,verified,safe-incomplete,0.2025
10,0.19,verified,safe,0.3934
10,0.2,verified,safe,0.36
11,0.01,verified,safe-incomplete,0.2078
11,0.02,verified,safe-incomplete,0.2057
11,0.03,verified,safe-incomplete,0.2025
11,0.04,verified,safe-incomplete,0.2025
11,0.05,verified,safe-incomplete,0.1993
11,0.06,verified,safe-incomplete,0.2056
11,0.07,verified,safe-incomplete,0.2058
11,0.08,verified,safe-incomplete,0.2024
11,0.09,verified,safe-incomplete,0.204
11,0.1,verified,safe-incomplete,0.2012
